ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06920F438A986B0DE4,2020-12-08 00:00:00,001,颗粒物,0.24,20,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06920F438A986B0DE4,2020-12-08 00:00:00,002,二氧化硫,0.15,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06920F438A986B0DE4,2020-12-08 00:00:00,003,氮氧化物,161.28,250,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06920F438A986B0DE4,2020-12-08 00:00:00,004,一氧化碳,18.26,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06920F438A986B0DE4,2020-12-08 00:00:00,008,氯化氢,32.79,50,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06F71A949B67BEC622,2020-12-08 00:00:00,001,颗粒物,0.16,20,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06F71A949B67BEC622,2020-12-08 00:00:00,002,二氧化硫,3.1,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06F71A949B67BEC622,2020-12-08 00:00:00,003,氮氧化物,85.38,250,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06F71A949B67BEC622,2020-12-08 00:00:00,004,一氧化碳,38.8,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06F71A949B67BEC622,2020-12-08 00:00:00,008,氯化氢,29.33,50,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:23.7,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06ED35D6B937557BE3,2020-12-08 00:00:00,001,颗粒物,,20,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:21.667,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06ED35D6B937557BE3,2020-12-08 00:00:00,002,二氧化硫,,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:21.667,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06ED35D6B937557BE3,2020-12-08 00:00:00,003,氮氧化物,,250,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:21.667,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06ED35D6B937557BE3,2020-12-08 00:00:00,004,一氧化碳,,80,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:21.667,20201208
D943A7B0CA6BAF06D0E0C2D89AC448D4,D943A7B0CA6BAF06ED35D6B937557BE3,2020-12-08 00:00:00,008,氯化氢,,50,,0,0,2020-12-09T09:20:21.667,2020-12-09T09:20:21.667,20201208
