ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2020-12-28 00:00:00,001,颗粒物,4.09,20,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2020-12-28 00:00:00,002,二氧化硫,46.86,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2020-12-28 00:00:00,003,氮氧化物,144.31,250,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2020-12-28 00:00:00,004,一氧化碳,1.19,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71B905E0513F3E7FBB6,2020-12-28 00:00:00,008,氯化氢,14.0,50,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2020-12-28 00:00:00,001,颗粒物,7.28,20,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2020-12-28 00:00:00,002,二氧化硫,10.26,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2020-12-28 00:00:00,003,氮氧化物,161.62,250,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2020-12-28 00:00:00,004,一氧化碳,0.63,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BFD43A99B9D0DA825,2020-12-28 00:00:00,008,氯化氢,6.83,50,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2020-12-28 00:00:00,001,颗粒物,4.62,20,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2020-12-28 00:00:00,002,二氧化硫,39.16,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2020-12-28 00:00:00,003,氮氧化物,100.86,250,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2020-12-28 00:00:00,004,一氧化碳,3.37,80,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
2FD86C1B7A1ED71B8697F15DAE0B56D5,2FD86C1B7A1ED71BB2A797FE3F46BDCA,2020-12-28 00:00:00,008,氯化氢,15.81,50,,0,0,2020-12-29T09:20:43.767,2020-12-29T09:20:48.943,20201228
